slug,peak_tvl,current_tvl,drawdown_from_peak,tvl_30d_change,tvl_90d_change,volatility,lifespan_days,consecutive_decline_days,data_points,label,name,category,avax_only
return-finance,127014.0,0.0,1.0,0.0,0.0,4.0473527201928485,713,43,715,dead,Return Finance,Yield Aggregator,False
monocerus,15042.0,196.0,0.9869698178433719,-0.010050251256281407,-0.010050251256281407,3.2622473885295964,865,117,867,dead,Monocerus,Dexs,False
incognito,217.0,58.0,0.7327188940092166,-0.03278688524590164,-0.06349206349206349,0.29163719042667574,698,163,700,dead,Incognito,Dexs,False
aboard-exchange,164297.0,6.0,0.999963480769582,-0.36363636363636365,-0.36363636363636365,1.3036828984443516,1376,387,1378,dead,Aboard Exchange,Derivatives,False
flashliquidity,1782.0,0.0,1.0,0.0,0.0,0.6228810768116312,827,122,829,dead,FlashLiquidity,Dexs,False
securo-finance,35.0,15.0,0.5714285714285714,-0.30434782608695654,-0.3333333333333333,0.4707033580252811,1307,104,1309,dead,Securo Finance,Indexes,False
rubydex,52.0,0.0,1.0,0.0,0.0,3.7079766259000095,847,2,849,dead,RubyDex,Derivatives,False
genius,4003.0,1.0,0.9997501873594804,0.0,0.0,6.554847800691841,1092,11,1094,dead,Genius,Yield,False
rehold-v2,130841.0,0.0,1.0,-0.5,-0.5,1.3362530169927243,942,229,943,dead,ReHold V2,Yield,False
crypto-lottery,6.0,2.0,0.6666666666666666,0.5,0.5,0.6596850639938043,932,10,664,dead,Crypto Lottery,Luck Games,False
futureswap,50848.0,0.0,1.0,0.0,-0.9999684243763814,0.2268901836440206,1312,343,1314,dead,FutureSwap,Derivatives,False
dumpex,0.0,0.0,0.0,0.0,0.0,0.0,696,0,698,dead,DumpEX,Farm,False
multi-chain-miner,174064.0,0.0,1.0,0.0,0.0,2.955114358050879,1596,454,1598,dead,Multi-Chain Miner,Ponzi,False
zkex,6222.0,0.0,1.0,0.0,0.0,2.3164397867114515,711,150,713,dead,ZKEX,Dexs,False
donaswap-v2,0.0,0.0,0.0,0.0,0.0,0.0,559,0,519,dead,DONASWAP V2,Dexs,False
nodo,2015.0,0.0,1.0,0.0,0.0,1.700346235061232,412,8,414,dead,NODO,Prediction Market,False
rehold-v1,96396.0,0.0,1.0,0.0,0.0,1.9174740251667315,1052,168,1053,dead,ReHold V1,Yield,False
cables-finance,539068.0,0.0,1.0,-0.9999971810896217,-0.9999963854420062,0.5464009049480262,483,65,485,dead,Cables Finance,Dexs,False
tokensfarm,187.0,0.0,1.0,0.0,0.0,2.4221612593727073,1406,12,1400,dead,TokensFarm,Yield,False
ripae,0.0,0.0,0.0,0.0,0.0,0.0,1447,0,1448,dead,Ripae,Algo-Stables,False
volta-dao,0.0,0.0,0.0,0.0,0.0,0.0,1469,0,1471,dead,Volta DAO,Reserve Currency,False
0x-nodes,249472.0,0.0,1.0,0.0,0.0,2.524414566709426,1195,76,753,dead,0x NODES,Yield Aggregator,False
zeroswap,121415.0,21.0,0.9998270394926492,-0.18518518518518517,-0.18518518518518517,1.6973031745730853,1302,670,1304,dead,ZeroSwap,Dexs,False
betswirl,703021.0,896.0,0.9987255003762334,-0.38979591836734695,-0.806805944432479,0.880444420066223,973,307,975,dead,BetSwirl,Prediction Market,False
cryptoblades,0.0,0.0,0.0,0.0,0.0,0.0,1295,0,1296,dead,CryptoBlades,Gaming,False
wolf-safe-poor-people,0.0,0.0,0.0,0.0,0.0,0.0,1289,0,1291,dead,Wolf Safe Poor People,Yield,False
dypius,0.0,0.0,0.0,0.0,0.0,0.0,1049,0,1051,dead,Dypius,Yield,False
vertex-perps,11101387.0,0.0,1.0,0.0,0.0,1.7561820327376714,327,26,329,dead,Vertex Perps,Derivatives,False
anchor,209981703.0,0.0,1.0,0.0,0.0,3.241942353488063,568,143,513,dead,Anchor,Lending,False
zookeeper,2056807.0,0.0,1.0,0.0,0.0,1.441093165583748,1411,246,1407,dead,Zookeeper,Yield,False
volta-club,0.0,0.0,0.0,0.0,0.0,0.0,1634,0,1636,dead,Volta Club,Reserve Currency,False
ramp,1572.0,0.0,1.0,0.0,0.0,0.8958859746000574,1278,157,1276,dead,Ramp,CDP,False
galaxygoogle-dao,0.0,0.0,0.0,0.0,0.0,0.0,675,0,634,dead,GalaxyGoogle DAO,Reserve Currency,False
honeyfarm,0.0,0.0,0.0,0.0,0.0,0.0,1531,0,1533,dead,HoneyFarm,Yield,False
kitty-finance,0.0,0.0,0.0,0.0,0.0,0.0,1526,0,1524,dead,Kitty Finance,Algo-Stables,False
marginswap,6939110.0,0.0,1.0,0.0,-0.9999995941352544,0.36510672690787344,647,305,610,dead,MarginSwap,Dexs,False
poolz-vesting,0.0,0.0,0.0,0.0,0.0,0.0,161,0,161,dead,Poolz Vesting,Launchpad,False
