name,category,tvl_usd,num_chains,avax_only,slug,label
Gaia DAO,Reserve Currency,4.806608170193802,1,True,gaia-dao,dead
DumpEX,Farm,4.599869631364849,11,False,dumpex,dead
TempoDAO,Reserve Currency,3.358851089391962,1,True,tempodao,dead
Multi-Chain Miner,Ponzi,2.9095417767965,4,False,multi-chain-miner,dead
BayMax,Derivatives,2.527025979528775,1,True,baymax,dead
ZKEX,Dexs,2.048684967529911,9,False,zkex,dead
SashimiDAO,Reserve Currency,1.442948935326536,1,True,sashimidao,dead
DONASWAP V2,Dexs,1.0180186883660742,29,False,donaswap-v2,dead
NODO,Prediction Market,0.8452719683352007,5,False,nodo,dead
Vacus Finance,Yield Aggregator,0.8178986429013764,1,True,vacus-finance,dead
Magnet DAO,Algo-Stables,0.6556692600864312,1,True,magnet-dao,dead
Maximizer,Reserve Currency,0.4572793250069649,1,True,maximizer,dead
DeepSeaDAO,Reserve Currency,0.4468463679033729,1,True,deepseadao,dead
Snowdog,Reserve Currency,0.2915706915267717,1,True,snowdog,dead
ReHold V1,Yield,0.1403130814541358,6,False,rehold-v1,dead
Lama Miner,Ponzi,0.0996058602786811,1,True,lama-miner,dead
Meow Miner,Ponzi,0.0324896891183138,1,True,meow-miner,dead
Swing DAO,Reserve Currency,0.02068893345117,1,True,swing-dao,dead
Cables Finance,Dexs,2.418160918597672e-05,2,False,cables-finance,dead
ValhallaDAO,Reserve Currency,1.7208266877309225e-05,1,True,valhalladao,dead
ZeroShift,Reserve Currency,1.623399170646282e-11,1,True,zeroshift,dead
Piggybank DAO,Reserve Currency,6.6806942100000015e-16,1,True,piggybank-dao,dead
TokensFarm,Yield,0.0,7,False,tokensfarm,dead
Grape Finance,Algo-Stables,0.0,1,True,grape-finance,dead
Cesta Finance,Reserve Currency,0.0,1,True,cesta-finance,dead
Snowtomb,Algo-Stables,0.0,1,True,snowtomb,dead
IceCream Finance,Algo-Stables,0.0,1,True,icecream-finance,dead
Ripae,Algo-Stables,0.0,7,False,ripae,dead
ProjectX,Yield,0.0,1,True,projectx,dead
Thor Financial,Yield,0.0,1,True,thor-financial,dead
VaporFi,Yield,0.0,1,True,vaporfi,dead
