slug,name,category,history_source_mode,has_avax_history,has_total_history,avax_history_days,total_history_days,current_avax_core_tvl,current_total_core_tvl,current_non_avax_core_tvl,current_avax_share,active_chain_count_core,data_quality_score_v2,current_status,current_tvl_band_avax,low_tvl_now_avax,migrated_candidate,core_eligible,core_universe_status,boundary_reason,label_confidence_v2,structural_decay_label_v2,structural_decay_target_v2,avax_peak_tvl,avax_current_tvl,avax_drawdown_from_peak,avax_tvl_30d_change,avax_tvl_90d_change,avax_consecutive_decline_days,avax_volatility_full,avax_only,num_chains,old_label,launch_date,decay_mode_v2,stage1_terminal_prob,stage1_score_confidence,risk_uncertainty,risk_band,reason_1,reason_2,reason_3,stage2_terminal_mode_prob,stage2_terminal_mode_oof_prob,stage1_terminal_prob_stage1,stage1_score_confidence_stage1,reason_1_stage1,reason_2_stage1,reason_3_stage1,composite_terminal_prob,composite_watch_band
antimatter,Antimatter,Options,avax_core,1,1,1488,1489,5830.56877,12187.61149,6357.04272,0.4784012663009493,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0,46638.0,5830.0,0.8749946395643038,0.0818181818181818,-0.3426896629466802,377.0,0.5277312245083783,0,5,alive,2022-02-10,terminal_global_decay,0.7607738450837247,0.8346529032681286,0.1653470967318714,critical,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.8855231056881679,0.8220494094976045,0.7607738450837247,0.8346529032681286,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.6736828180248691,terminal_risk
aperture-lm,Aperture LM,Liquidity Manager,avax_core,1,1,1238,1442,12726.46322,12726.46322,0.0,1.0,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,structural_decay,1.0,3637993.0,12726.0,0.9965019174033596,0.0224953804129509,-0.0590018484288354,599.0,3.136452800244238,0,2,alive,2022-10-18,native_revival_or_threshold_boundary,0.1295161507004642,0.9223543676643652,0.0776456323356348,stable_watch,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.05300490863345511,0.11867329325309942,0.1295161507004642,0.9223543676643652,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.006864991734434909,monitor
apex-defi,Apex DeFi,Dexs,avax_core,1,1,558,558,16767.59776,16881.0273,113.429540000001,0.9932806494543136,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0,363254.0,16767.0,0.9538422150891662,-0.1154251951888584,-0.485801901257283,229.0,0.5917248120515256,0,3,alive,2024-08-28,resilient_or_unproven,0.06483341423976477,0.9598137564330114,0.040186243566988675,stable_watch,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.20533755164065665,,0.06483341423976477,0.9598137564330114,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.013312734544497782,monitor
apex-pro,ApeX Pro,Derivatives,avax_core,1,1,896,1264,0.0,1430470.27653,1430470.27653,0.0,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0,428840.0,0.0,1.0,0.0,0.0,47.0,1.0496557206901174,0,7,alive,2023-09-25,resilient_or_unproven,0.39132382268809535,0.7226974385176522,0.2773025614823478,stable_watch,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.5531887813661838,,0.39132382268809535,0.7226974385176522,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.21647594859238403,monitor
apexswap,ApexSwap,Dexs,avax_core,1,1,347,347,69.73822,69.73822,0.0,1.0,0.0,0.985205,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,0.985205,censored,,117485.0,69.0,0.9994126909818276,-0.0140845070422535,-0.2134831460674157,159.0,3.5150842570431338,1,1,dead,2022-09-23,resilient_or_unproven,0.9928720174777378,0.9757870303449432,0.009559400992744445,critical,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9952675525212253,,0.9928720174777378,0.9757870303449432,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9881733028018793,terminal_risk
aquabank,AquaBank,Yield,avax_core,1,1,123,123,928364.83235,928364.83235,0.0,1.0,1.0,0.801096,active_on_avax,ge_10k,0.0,0,1,core_eligible,,0.801096,censored,,1188260.0,928364.0,0.2187198087960547,0.2378431064046529,0.1592839241317218,7.0,0.1151182651864459,1,1,alive,2025-11-06,resilient_or_unproven,0.12133991656198133,0.7426148091491147,0.07300147654074579,stable_watch,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.20788014085228787,,0.12133991656198133,0.7426148091491147,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.025224158945909535,monitor
ara-finance,Ara Finance,Reserve Currency,avax_core,1,1,1534,1534,1488.42811,1488.42811,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0,98795.0,1488.0,0.984938509033858,-0.0066711140760507,-0.0106312292358804,283.0,4.06093445309117,1,1,dead,2021-12-26,terminal_global_decay,0.9660918462008413,0.9763986436843237,0.023601356315676336,critical,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9958514744226135,0.9964276772500447,0.9660918462008413,0.9763986436843237,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9620839894667725,terminal_risk
arable-protocol,Arable Protocol,Synthetics,avax_core,1,1,1482,1482,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,dead,2022-02-16,terminal_global_decay,0.9978576873940077,0.9979225003088734,0.0020774996911266165,critical,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9996838323353293,0.9995091363230143,0.9978576873940077,0.9979225003088734,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9975421970593107,terminal_risk
archly-v2,Archly V2,Dexs,avax_core,1,1,739,808,96.93849,2005.47724,1908.53875,0.0483368686846827,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0,1141.0,96.0,0.915863277826468,0.0210526315789473,-0.110091743119266,304.0,0.9117526181231956,0,22,dead,2024-02-27,terminal_global_decay,0.7614162462544537,0.7668897881336253,0.23311021186637468,critical,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9801625254006736,0.9789756611336731,0.7614162462544537,0.7668897881336253,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.7463116708098665,terminal_risk
arena-dex,Arena DEX,Dexs,avax_core,1,1,308,308,2018456.77533,2018456.77533,0.0,1.0,1.0,0.953151,active_on_avax,ge_10k,0.0,0,1,core_eligible,,0.953151,censored,,10484947.0,2018456.0,0.8074901093920647,0.0773728728971833,-0.4514033881352753,102.0,0.4911425923921822,1,1,alive,2025-05-05,resilient_or_unproven,0.1293888097978047,0.8771829688694873,0.07970198964331224,stable_watch,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.14551150877873725,,0.1293888097978047,0.8771829688694873,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.018827560932763623,monitor
arena-launch,Arena Launch,Launchpad,avax_core,1,1,305,305,32771.10499,32771.10499,0.0,1.0,1.0,0.950685,active_on_avax,ge_10k,0.0,0,1,core_eligible,,0.950685,censored,,165470.0,32771.0,0.8019520154710824,0.1663048507064308,-0.3744607749570529,102.0,0.4388051702455035,1,1,alive,2025-05-08,resilient_or_unproven,0.17756352438793424,0.8136708517825605,0.14412149998941756,stable_watch,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.15963284142784756,,0.17756352438793424,0.8136708517825605,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.02834496993198885,monitor
arena-socialfi,Arena SocialFi,SoFi,avax_core,1,1,894,894,194599.05022,194599.05022,0.0,1.0,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0,2780347.0,194599.0,0.9300090959869396,0.0391025059137,-0.4702628541562316,457.0,0.4241351953992859,1,1,alive,2023-09-27,resilient_or_unproven,0.24644357136192685,0.8499572593524563,0.1500427406475437,stable_watch,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.08113245413633227,,0.24644357136192685,0.8499572593524563,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.019994571750715458,monitor
arrow-markets,Arrow Markets,Options,avax_core,1,1,579,579,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,dead,2024-08-07,terminal_global_decay,0.9966091128337113,0.9963263548511018,0.003673645148898212,critical,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9996838323353293,0.9994116511405596,0.9966091128337113,0.9963263548511018,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9962940172579172,terminal_risk
atlantis-loans,Atlantis Loans,Lending,avax_core,1,1,362,669,2774.83427,2902.30833,127.47406,0.9560783881290792,0.0,0.998356,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,0.998356,censored,,16556.0,2774.0,0.832447451075139,-0.0035906642728904,-0.1557651353818071,111.0,0.48301466962808,0,4,dead,2022-09-05,resilient_or_unproven,0.7848780956199423,0.8333021031230142,0.1653256923151519,critical,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9785876626222969,,0.7848780956199423,0.8333021031230142,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.7680720210361589,terminal_risk
augmented-finance,Augmented Finance,Lending,avax_core,1,1,902,1016,164.84803,326.6517,161.80367,0.5046599481955857,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0,3674977.0,164.0,0.999955373870367,0.1148648648648648,0.1148648648648648,469.0,3.207272295545759,0,4,dead,2022-02-06,terminal_global_decay,0.8422372794104249,0.8895043059488118,0.11049569405118821,critical,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9848411127035358,0.9745707553403128,0.8422372794104249,0.8895043059488118,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.8294698994149616,terminal_risk
aura,Aura,Yield,avax_core,1,1,704,1326,0.0,104295852.65085,104295852.65085,0.0,6.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,,1.0,structural_decay,1.0,2212655.0,0.0,1.0,0.0,0.0,260.0,1.008680847876009,0,9,alive,2024-04-04,multichain_relocation,0.07868019716471407,0.8914211228593447,0.10857887714065526,stable_watch,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.06313908894121285,0.16090965932182447,0.07868019716471407,0.8914211228593447,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.004967795966695045,monitor
autofarm,Autofarm,Yield Aggregator,avax_core,1,1,1621,1810,59067.21786,5799888.08656,5740820.8687,0.0101841995877257,7.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,structural_decay,1.0,7501342.0,59067.0,0.9921258089552508,0.0667292723890704,-0.3025716107398399,806.0,1.9292371929624443,0,20,alive,2021-09-16,native_revival_or_threshold_boundary,0.0317004900685786,0.957171542204177,0.04282845779582304,stable_watch,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.006017534191084128,0.007807194884272438,0.0317004900685786,0.957171542204177,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.00019075878286179456,monitor
avalaunch,Avalaunch,Dexs,avax_core,1,1,1661,1661,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,dead,2021-08-21,terminal_global_decay,0.9964386026840152,0.9960363209391546,0.00396367906084542,critical,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9996838323353293,0.9995091363230143,0.9964386026840152,0.9960363209391546,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9961235610180169,terminal_risk
avalps,Avalps,Reserve Currency,avax_core,1,1,1531,1531,4131.17966,4131.17966,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0,468827.0,4131.0,0.9911886474115186,-0.0062530062530062,-0.0145480562842833,363.0,3.956683320710722,1,1,dead,2021-12-29,terminal_global_decay,0.9132445307170205,0.9337423799725247,0.06625762002747529,critical,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9894647988121658,0.9904563600990893,0.9132445307170205,0.9337423799725247,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9036233158522274,terminal_risk
avant-avbtc,Avant avBTC,Onchain Capital Allocator,avax_core,1,1,264,264,6348935.84094,6348935.84094,0.0,1.0,1.0,0.916986,active_on_avax,ge_10k,0.0,0,1,core_eligible,,0.916986,censored,,33660779.0,6348935.0,0.8113847870246853,-0.0046121616956349,-0.5903409302445326,75.0,0.5075231869129838,1,1,alive,2025-06-18,resilient_or_unproven,0.1424740613117013,0.8404545741927504,0.08345975381003584,stable_watch,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.19659140444175663,,0.1424740613117013,0.8404545741927504,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.0280091758097883,monitor
