slug,name,category,avax_peak_tvl,avax_current_tvl,avax_start_tvl,avax_drawdown_from_peak,avax_tvl_30d_change,avax_tvl_90d_change,avax_lifespan_days,avax_consecutive_decline_days,avax_volatility_full,avax_history_days,history_source_mode,has_avax_history,has_total_history,total_history_days,current_avax_core_tvl,current_total_core_tvl,current_non_avax_core_tvl,current_avax_share,active_chain_count_core,data_quality_score_v2,current_status,current_tvl_band_avax,low_tvl_now_avax,migrated_candidate,core_eligible,core_universe_status,boundary_reason
apexswap,ApexSwap,Dexs,117485.0,69.0,115504.0,0.9994126909818275,-0.014084507042253521,-0.21348314606741572,384.0,159.0,3.5150842570431338,347,avax_core,1,1,347,69.73822,69.73822,0.0,1.0,0.0,0.985205,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
aquabank,AquaBank,Yield,1188260.0,928364.0,816237.0,0.21871980879605474,0.2378431064046529,0.1592839241317218,122.0,7.0,0.11511826518644593,123,avax_core,1,1,123,928364.83235,928364.83235,0.0,1.0,1.0,0.801096,active_on_avax,ge_10k,0.0,0,1,core_eligible,
ara-finance,Ara Finance,Reserve Currency,98795.0,1488.0,87479.0,0.9849385090338579,-0.0066711140760507,-0.0106312292358804,1533.0,283.0,4.06093445309117,1534,avax_core,1,1,1534,1488.42811,1488.42811,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
arable-protocol,Arable Protocol,Synthetics,0.0,0.0,0.0,0.0,0.0,0.0,1481.0,0.0,0.0,1482,avax_core,1,1,1482,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
archly-v2,Archly V2,Dexs,1141.0,96.0,2.0,0.915863277826468,0.021052631578947368,-0.11009174311926606,740.0,304.0,0.9117526181231955,739,avax_core,1,1,808,96.93849,2005.4772400000002,1908.5387500000002,0.04833686868468275,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
arena-dex,Arena DEX,Dexs,10484947.0,2018456.0,728.0,0.8074901093920647,0.0773728728971833,-0.45140338813527536,307.0,102.0,0.4911425923921822,308,avax_core,1,1,308,2018456.77533,2018456.77533,0.0,1.0,1.0,0.953151,active_on_avax,ge_10k,0.0,0,1,core_eligible,
arena-launch,Arena Launch,Launchpad,165470.0,32771.0,39680.0,0.8019520154710824,0.16630485070643083,-0.3744607749570529,304.0,102.0,0.4388051702455035,305,avax_core,1,1,305,32771.10499,32771.10499,0.0,1.0,1.0,0.950685,active_on_avax,ge_10k,0.0,0,1,core_eligible,
arena-socialfi,Arena SocialFi,SoFi,2780347.0,194599.0,33706.0,0.9300090959869397,0.03910250591370003,-0.47026285415623165,893.0,457.0,0.4241351953992859,894,avax_core,1,1,894,194599.05022,194599.05022,0.0,1.0,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
arrow-markets,Arrow Markets,Options,0.0,0.0,0.0,0.0,0.0,0.0,578.0,0.0,0.0,579,avax_core,1,1,579,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
atlantis-loans,Atlantis Loans,Lending,16556.0,2774.0,9669.0,0.832447451075139,-0.003590664272890485,-0.1557651353818071,402.0,111.0,0.48301466962808,362,avax_core,1,1,669,2774.83427,2902.30833,127.47406000000001,0.9560783881290793,0.0,0.998356,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
augmented-finance,Augmented Finance,Lending,3674977.0,164.0,0.0,0.999955373870367,0.11486486486486487,0.11486486486486487,1233.0,469.0,3.207272295545759,902,avax_core,1,1,1016,164.84803,326.6517,161.80367,0.5046599481955857,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
aura,Aura,Yield,2212655.0,0.0,45480.0,1.0,0.0,0.0,703.0,260.0,1.008680847876009,704,avax_core,1,1,1326,0.0,104295852.65085,104295852.65085,0.0,6.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,
autofarm,Autofarm,Yield Aggregator,7501342.0,59067.0,1298436.0,0.9921258089552509,0.06672927238907049,-0.3025716107398399,1634.0,806.0,1.9292371929624443,1621,avax_core,1,1,1810,59067.21786,5799888.08656,5740820.8686999995,0.010184199587725777,7.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
avalaunch,Avalaunch,Dexs,0.0,0.0,0.0,0.0,0.0,0.0,1660.0,0.0,0.0,1661,avax_core,1,1,1661,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
avalps,Avalps,Reserve Currency,468827.0,4131.0,465750.0,0.9911886474115186,-0.006253006253006253,-0.01454805628428333,1530.0,363.0,3.956683320710722,1531,avax_core,1,1,1531,4131.17966,4131.17966,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
avant-avbtc,Avant avBTC,Onchain Capital Allocator,33660779.0,6348935.0,2853700.0,0.8113847870246853,-0.004612161695634955,-0.5903409302445326,263.0,75.0,0.5075231869129838,264,avax_core,1,1,264,6348935.84094,6348935.84094,0.0,1.0,1.0,0.916986,active_on_avax,ge_10k,0.0,0,1,core_eligible,
avant-avusd,Avant avUSD,Basis Trading,135585614.0,112618657.0,62289178.0,0.16939081014892923,-0.03832069562196129,0.2440950817679692,290.0,61.0,0.197966856965722,291,avax_core,1,1,291,112618657.2759,112618657.2759,0.0,1.0,1.0,0.939178,active_on_avax,ge_10k,0.0,0,1,core_eligible,
avaviking,AvaViking,Yield,21797.0,42.0,17185.0,0.9980731293297243,0.023809523809523808,-0.12244897959183673,1531.0,520.0,7.034871115247046,1532,avax_core,1,1,1532,42.5051,42.5051,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
avaware,Avaware,Yield,3175086.0,143.0,3175086.0,0.9999549618498522,0.058823529411764705,-0.32075471698113206,1652.0,704.0,3.6963860130267356,1504,avax_core,1,1,1504,143.54977,143.54977,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
axial,Axial,Dexs,92118975.0,37337.0,26141205.0,0.9995946871966389,-0.1261876901474374,-0.9826011183597391,1573.0,832.0,1.9129274496958937,1574,avax_core,1,1,1574,37337.00969,37337.00969,0.0,1.0,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
baguette,Baguette,Dexs,5376154.0,21289.0,13.0,0.9960401059939875,0.08522785197267815,-0.3864730123051209,1784.0,926.0,1.9219437407293243,1785,avax_core,1,1,1785,21289.50526,21289.50526,0.0,1.0,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
baki,Baki,CDP,61197.0,5961.0,25006.0,0.9025932643757046,-0.0008379420144126027,-0.0015072852118573103,859.0,244.0,1.078235204017923,859,avax_core,1,1,859,5961.75733,5961.75733,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
baklava-space,Baklava Space,Yield,333706.0,6421.0,279768.0,0.9807585119836023,0.0,0.0,928.0,304.0,0.9308409699403565,929,avax_core,1,1,929,6421.93652,6422.5463500000005,0.6098300000003292,0.9999050485637989,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
balanced-exchange,Balanced Exchange,Dexs,3465977.0,1693069.0,911294.0,0.5115175317089525,-0.13378325625704443,-0.333279777396323,689.0,104.0,0.29226382917338056,690,avax_core,1,1,1662,1693069.87654,3806305.74262,2113235.86608,0.44480658964999664,7.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
balancer-v2,Balancer V2,Dexs,28884163.0,130875.0,1511898.0,0.995468970314286,0.06621696483853097,-0.8892684028797186,949.0,416.0,0.9390938017693237,933,avax_core,1,1,1765,130875.47206,44862485.86844,44731610.39638,0.0029172585853533516,9.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
balancer-v3,Balancer V3,Dexs,30796388.0,739307.0,0.0,0.975993710691007,-0.09120098340503995,0.4839135714500768,334.0,127.0,0.8767490053164084,335,avax_core,1,1,453,739307.19042,96558868.42568001,95819561.23526001,0.007656543645072169,9.0,0.983562,active_on_avax,ge_10k,0.0,0,1,core_eligible,
balmy,Balmy,DCA Tools,7677.0,44.0,0.0,0.994268594503061,0.07142857142857142,-0.26229508196721313,610.0,197.0,1.7636134926800417,611,avax_core,1,1,1651,44.08471,190891.74224000002,190847.65753000003,0.0002309408960423976,4.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,
banksy-farm,Banksy Farm,Yield,650070.0,9371.0,650070.0,0.9855846293476087,0.0038560411311053984,-0.06709137965359346,1530.0,770.0,2.754999673276345,1531,avax_core,1,1,1531,9371.94871,9371.94871,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
baymax,BayMax,Derivatives,608853.0,2.0,23.0,0.9999967151348519,0.0,-0.25,1156.0,113.0,3.37841551129222,1157,avax_core,1,1,1157,2.69078,2.69078,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
beefy,Beefy,Yield Aggregator,295395475.0,1904221.0,1942039.0,0.9935536554850747,-0.9552337178694205,-0.7986776865096155,1747.0,735.0,1.8395423476311965,1746,avax_core,1,1,1746,1904221.41172,144605617.69734,142701396.28562,0.013168377840655825,26.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
benqi-lending,Benqi Lending,Lending,1809843626.0,137329231.0,105.0,0.9241209411536199,-0.023923385667006997,-0.41579651247923355,1662.0,805.0,1.0176057160812209,1663,avax_core,1,1,1663,137329231.48634,137329231.48634,0.0,1.0,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
