slug,name,category,avax_peak_tvl,avax_current_tvl,avax_start_tvl,avax_drawdown_from_peak,avax_tvl_30d_change,avax_tvl_90d_change,avax_lifespan_days,avax_consecutive_decline_days,avax_volatility_full,avax_history_days,history_source_mode,has_avax_history,has_total_history,total_history_days,current_avax_core_tvl,current_total_core_tvl,current_non_avax_core_tvl,current_avax_share,active_chain_count_core,data_quality_score_v2,current_status,current_tvl_band_avax,low_tvl_now_avax,migrated_candidate,core_eligible,core_universe_status,boundary_reason
benqi-staked-avax,Benqi Staked Avax,Liquid Staking,625812927.0,220728496.0,57568015.0,0.6472931662531797,0.16735620287480543,-0.34759455783928705,1480.0,98.0,0.590570566425971,1481,avax_core,1,1,1481,220728496.62846,220728496.62846,0.0,1.0,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
beta-finance-v1,Beta Finance V1,Lending,10624344.0,7719.0,9918402.0,0.9992734610249818,-0.2353407290015848,-0.4774604034113984,1500.0,768.0,3.3040689966361536,1490,avax_core,1,1,1656,7719.17494,511025.3695,503306.19456,0.015105267567347262,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
betswirl,BetSwirl,Prediction Market,,,,,,,,,,0,total_only,0,1,1325,0.0,0.0,0.0,0.0,0.0,0.25,no_avax_core_history,unknown,,0,0,boundary_excluded,no_avax_core_history_total_only
bifi,BiFi,Lending,2064888.0,2116.0,0.0,0.9989752470836191,0.09689119170984456,-0.3113207547169811,1687.0,820.0,1.4509287538077371,1677,avax_core,1,1,1880,2116.22129,8176894.12575,8174777.90446,0.0002588050251666792,4.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,
bim,BIM,Yield Aggregator,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,136,avax_core,1,1,245,0.0,639142.8914900001,639142.8914900001,0.0,4.0,0.841644,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,
bitbond-lockers,Bitbond Lockers,Token Locker,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,350,avax_core,1,1,350,0.0,9519160.886009999,9519160.886009999,0.0,3.0,0.987671,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,
bitbond-sales,Bitbond Sales,Launchpad,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,361,avax_core,1,1,361,0.0,55930.0914,55930.0914,0.0,1.0,0.996712,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
blackhole-amm,Blackhole AMM,Dexs,159490327.0,6394590.0,0.0,0.9599060951201135,-0.2866350021675635,-0.6487083727131073,241.0,129.0,0.8908087260858545,242,avax_core,1,1,242,6394590.44492,6394590.44492,0.0,1.0,1.0,0.898904,active_on_avax,ge_10k,0.0,0,1,core_eligible,
blackhole-clmm,Blackhole CLMM,Dexs,158077917.0,33646582.0,0.0,0.787151914457476,0.009034247761148464,-0.40840830534210915,241.0,117.0,0.4750148007584374,242,avax_core,1,1,242,33646582.96701,33646582.96701,0.0,1.0,1.0,0.898904,active_on_avax,ge_10k,0.0,0,1,core_eligible,
blizz-finance,Blizz Finance,Lending,1299896382.0,0.0,651286440.0,1.0,0.0,0.0,703.0,108.0,2.7753895550591343,666,avax_core,1,1,666,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
