slug,name,category,parent_protocol,gecko_id,chains_count_payload,avax_only,num_chains,old_label,history_source_mode,has_avax_history,has_total_history,avax_history_days,total_history_days,current_avax_core_tvl,current_total_core_tvl,current_non_avax_core_tvl,current_avax_share,active_chain_count_core,data_quality_score_v2,core_eligible,core_universe_status,boundary_reason
rehold-v1,ReHold V1,Yield,parent#rehold,,6.0,0,6,dead,avax_core,1,1,1053,1107,0.0,0.14031,0.14031,0.0,0.0,1.0,1,core_eligible,
rehold-v2,ReHold V2,Yield,parent#rehold,,9.0,0,9,dead,avax_core,1,1,943,943,0.88033,14.374820000000001,13.49449,0.06124111467134892,0.0,1.0,1,core_eligible,
reservoir,Reservoir,Dexs,,,1.0,1,1,dead,avax_core,1,1,897,897,17.20546,17.20546,0.0,1.0,0.0,1.0,1,core_eligible,
return-finance,Return Finance,Yield Aggregator,,,4.0,0,4,dead,avax_core,1,1,726,726,0.05293,257.03934,256.98641,0.00020592178613592767,0.0,1.0,1,core_eligible,
revest-finance,Revest Finance,NFT Lending,,revest-finance,6.0,0,6,alive,avax_core,1,1,1505,1541,7.194,90470.48027000001,90463.28627000001,7.951765016091694e-05,1.0,1.0,1,core_eligible,
ribbon,Ribbon,Options Vault,parent#ribbon-finance,,4.0,0,4,alive,avax_core,1,1,1531,1786,80677.9647,3619171.38654,3538493.42184,0.022291833152762005,3.0,1.0,1,core_eligible,
ripae,Ripae,Algo-Stables,,ripae,7.0,0,7,dead,avax_core,1,1,1459,1490,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
risk-harbor,Risk Harbor,Insurance,parent#subseaprotocol,,9.0,0,9,alive,avax_core,1,1,1316,1435,1734.08486,38719.40077,36985.31591,0.044785942589885795,2.0,1.0,1,core_eligible,
robo-vault,Robo-Vault,Yield,,,2.0,0,2,dead,avax_core,1,1,1330,1637,1824.01214,3799.72537,1975.71323,0.48003788758028054,0.0,1.0,1,core_eligible,
royco-v2,Royco V2,Yield,parent#royco-protocol,,2.0,0,2,alive,avax_core,1,1,19,19,4528144.60045,10243337.974909998,5715193.374459999,0.4420575218294294,2.0,0.715616,1,core_eligible,
rubydex,RubyDex,Derivatives,,,10.0,0,10,dead,avax_core,1,1,860,1144,0.0,24.138450000000002,24.138450000000002,0.0,0.0,1.0,1,core_eligible,
salvor,Salvor,NFT Marketplace,,salvor,1.0,1,1,alive,avax_core,1,1,766,766,469465.41849,469465.41849,0.0,1.0,1.0,1.0,1,core_eligible,
sashimidao,SashimiDAO,Reserve Currency,,,1.0,1,1,dead,avax_core,1,1,602,602,1.44295,1.44295,0.0,1.0,0.0,1.0,1,core_eligible,
seafi,SeaFi,Yield,,,1.0,1,1,alive,avax_core,1,1,748,748,292308.21495,292308.21495,0.0,1.0,1.0,1.0,1,core_eligible,
secondswap,SecondSwap,OTC Marketplace,,,3.0,0,3,dead,avax_core,1,1,17,17,79.36017,1981344.34033,1981264.98016,4.0053699089367915e-05,1.0,0.713973,1,core_eligible,
secured-finance-lending,Secured Finance Lending,Lending,parent#secured-finance,,5.0,0,5,alive,avax_core,1,1,737,737,204.03477,433442.26044,433238.22566999996,0.00047073114142787625,2.0,1.0,1,core_eligible,
securo-finance,Securo Finance,Indexes,,,4.0,0,4,dead,avax_core,1,1,1320,1320,17.0,36.0,19.0,0.4722222222222222,0.0,1.0,1,core_eligible,
sherpa-cash,Sherpa Cash,Privacy,,sherpa,1.0,1,1,alive,avax_core,1,1,1441,1441,14788.2236,14788.2236,0.0,1.0,1.0,1.0,1,core_eligible,
sierra,Sierra,Reserve Currency,,sierra,1.0,1,1,dead,avax_core,1,1,604,604,842.25292,842.25292,0.0,1.0,0.0,1.0,1,core_eligible,
sierra-protocol,Sierra Protocol,Yield,,sierra-2,1.0,1,1,alive,avax_core,1,1,34,34,4790973.14188,4790973.14188,0.0,1.0,1.0,0.727945,1,core_eligible,
silo-v2,Silo V2,Lending,parent#silo-finance,,4.0,0,4,alive,avax_core,1,1,253,423,9070465.1262,45038011.27053,35967546.14433,0.20139577371026446,4.0,0.93863,1,core_eligible,
singular-farm,Singular Farm,Yield,,sing-token,4.0,0,4,alive,avax_core,1,1,1634,1634,3916.68297,22318.716169999996,18402.033199999998,0.17548872167049923,1.0,1.0,1,core_eligible,
smartcoin,SmartCoin,Yield,,smartcoin-2,1.0,1,1,dead,avax_core,1,1,1595,1595,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
snowball,Snowball,Yield,,snowball-token,1.0,1,1,alive,avax_core,1,1,1675,1675,308229.11437,308229.11437,0.0,1.0,1.0,1.0,1,core_eligible,
snowbank,Snowbank,Reserve Currency,,snowbank,1.0,1,1,dead,avax_core,1,1,1582,1582,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
snowcatdao,SnowCatDAO,Reserve Currency,,,1.0,1,1,dead,avax_core,1,1,1533,1533,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
snowdog,Snowdog,Reserve Currency,,snowdog,1.0,1,1,dead,avax_core,1,1,655,655,0.29157,0.29157,0.0,1.0,0.0,1.0,1,core_eligible,
snowtomb,Snowtomb,Algo-Stables,,snowtomb,1.0,1,1,dead,avax_core,1,1,1500,1500,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
snowyowl,Snowyowl,Algo-Stables,,snowy-owl,1.0,1,1,dead,avax_core,1,1,1465,1465,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
solisnek-finance,SoliSnek Finance,Dexs,,,1.0,1,1,dead,avax_core,1,1,1064,1064,9327.55964,9327.55964,0.0,1.0,0.0,1.0,1,core_eligible,
solv-strategies,Solv Strategies,Onchain Capital Allocator,parent#solv-protocol,,5.0,0,5,alive,avax_core,1,1,307,307,13582729.6996,55962894.62075,42380164.92115,0.24270956303542912,3.0,0.952329,1,core_eligible,
soulswap,SoulSwap,Dexs,,soul-swap,2.0,0,2,dead,avax_core,1,1,1236,1635,188.00008,2346.6102499999997,2158.61017,0.0801155965290785,0.0,1.0,1,core_eligible,
spark-liquidity-layer,Spark Liquidity Layer,Onchain Capital Allocator,parent#spark,,6.0,0,6,alive,avax_core,1,1,132,340,10002098.66212,1465787143.3164,1455785044.65428,0.006823704729385103,6.0,0.865479,1,core_eligible,
spark-savings,Spark Savings,Yield,parent#spark,,6.0,0,6,alive,avax_core,1,1,137,179,182441926.14557,1437126462.78224,1254684536.6366699,0.12694911051346666,6.0,0.82411,1,core_eligible,
spectra-v2,Spectra V2,Yield,parent#spectra,,12.0,0,12,alive,avax_core,1,1,249,650,4715169.85942,28746787.94772,24031618.088299997,0.1640242335246354,11.0,0.936438,1,core_eligible,
spice-trade,Spice Trade,Algo-Stables,,spice-trade,4.0,0,4,dead,avax_core,1,1,1370,1370,2493.64468,8995.345249999998,6501.700569999999,0.2772150051717026,0.0,1.0,1,core_eligible,
spicy-dao,Spicy DAO,Reserve Currency,,,1.0,1,1,dead,avax_core,1,1,1536,1536,272.16475,272.16475,0.0,1.0,0.0,1.0,1,core_eligible,
spiritdao,SpiritDAO,Reserve Currency,,spiritdao-ghost,1.0,1,1,dead,avax_core,1,1,1538,1538,2011.69528,2011.69528,0.0,1.0,0.0,1.0,1,core_eligible,
stabilize,Stabilize,CDP,,stabilize-token,1.0,1,1,alive,avax_core,1,1,1587,1587,19552.07517,19552.07517,0.0,1.0,1.0,1.0,1,core_eligible,
stable-jack-v1,Stable Jack V1,Yield,parent#stable-jack,,1.0,1,1,alive,avax_core,1,1,623,623,1629502.68521,1629502.68521,0.0,1.0,1.0,1.0,1,core_eligible,
stable-jack-v2,Stable Jack V2,Yield,parent#stable-jack,,3.0,0,3,alive,avax_core,1,1,313,336,2792.78744,12766.63845,9973.85101,0.2187566798368916,0.0,0.963562,1,core_eligible,
stackfi,StackFi,Lending,,,2.0,0,2,dead,avax_core,1,1,42,42,638.55592,650.1932,11.637280000000032,0.98210181219982,0.0,0.734521,1,core_eligible,
stake-dao,Stake DAO,Yield,,stake-dao,10.0,0,10,alive,avax_core,1,1,1579,1797,209764.18038,170329500.96591002,170119736.78553003,0.001231519960960741,8.0,1.0,1,core_eligible,
steadefi,Steadefi,Leveraged Farming,,,2.0,0,2,dead,avax_core,1,1,1061,1061,3.30143,576.13068,572.82925,0.005730349232573415,0.0,1.0,1,core_eligible,
steakhut,SteakHut,Farm,parent#steakhut-finance,,1.0,1,1,dead,avax_core,1,1,1383,1383,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
steakhut-liquidity,SteakHut Liquidity,Liquidity Manager,parent#steakhut-finance,,2.0,0,2,alive,avax_core,1,1,1145,1145,58319.49596,62692.18278,4372.686820000003,0.9302514823045055,1.0,1.0,1,core_eligible,
steer-protocol,Steer Protocol,Liquidity Manager,,,42.0,0,42,alive,avax_core,1,1,951,982,1374.47132,26088285.674150005,26086911.202830005,5.268538290202476e-05,15.0,1.0,1,core_eligible,
stonedefi,StoneDefi,Yield Aggregator,,stone-token,4.0,0,4,alive,avax_core,1,1,1518,1518,12124.19951,71483.96455,59359.765040000006,0.16960726208070953,3.0,1.0,1,core_eligible,
stormswap,StormSwap,Yield,,storm-token,2.0,0,2,dead,avax_core,1,1,1579,1645,8176.13153,9051.26644,875.1349099999998,0.9033135400663336,0.0,1.0,1,core_eligible,
struct-finance,Struct Finance,Yield,,,1.0,1,1,alive,avax_core,1,1,986,986,20357.63665,20357.63665,0.0,1.0,1.0,1.0,1,core_eligible,
stryke-ssov,Stryke SSOV,Options,parent#dopex,,4.0,0,4,alive,avax_core,1,1,1564,1610,0.0,11044.81295,11044.81295,0.0,1.0,1.0,1,core_eligible,
subzero+,Subzero+,Reserve Currency,parent#subzero,,1.0,1,1,dead,avax_core,1,1,1121,1121,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
subzero-zswap,Subzero ZSwap,Dexs,parent#subzero,,1.0,1,1,dead,avax_core,1,1,1243,1243,1611.74715,1611.74715,0.0,1.0,0.0,1.0,1,core_eligible,
superform,Superform,Yield Aggregator,,,10.0,0,10,alive,avax_core,1,1,774,774,2980.87048,33213140.89469,33210160.02421,8.974973157316088e-05,5.0,1.0,1,core_eligible,
sushi-bentobox,Sushi BentoBox,Yield,parent#sushi,,9.0,0,9,alive,avax_core,1,1,1001,1001,0.0,2910360.65165,2910360.65165,0.0,3.0,1.0,1,core_eligible,
sushi-kashi,Sushi Kashi,Lending,parent#sushi,,5.0,0,5,alive,avax_core,1,1,1261,1414,1441.58292,142338.75280000002,140897.16988000003,0.010127831610450923,3.0,1.0,1,core_eligible,
sushi-trident,Sushi Trident,Dexs,parent#sushi,,8.0,0,8,alive,avax_core,1,1,1016,1112,0.0,274513.67626,274513.67626,0.0,2.0,1.0,1,core_eligible,
sushiswap,SushiSwap,Dexs,parent#sushi,sushi,38.0,0,38,alive,avax_core,1,1,1695,1976,55299.27793,42497032.19267999,42441732.91474999,0.0013012503480072466,13.0,1.0,1,core_eligible,
sushiswap-v3,SushiSwap V3,Dexs,parent#sushi,,29.0,0,29,alive,avax_core,1,1,999,1005,34956.35305,84130277.98989001,84095321.63684002,0.0004155026452450416,18.0,1.0,1,core_eligible,
suzaku,Suzaku,Restaking,,suzaku-token,1.0,1,1,alive,avax_core,1,1,525,525,1357231.79622,1357231.79622,0.0,1.0,1.0,1.0,1,core_eligible,
swapsicle-v1,Swapsicle V1,Dexs,parent#swapsicle,swapsicle-pops,8.0,0,8,alive,avax_core,1,1,1377,1377,18693.30963,19203.51707,510.20744000000195,0.9734315626590582,1.0,1.0,1,core_eligible,
swift-finance,Swift Finance,Yield,,swift-finance,1.0,1,1,dead,avax_core,1,1,1582,1582,768.51282,768.51282,0.0,1.0,0.0,1.0,1,core_eligible,
swing-dao,Swing DAO,Reserve Currency,,,1.0,1,1,dead,avax_core,1,1,613,613,0.02069,0.02069,0.0,1.0,0.0,1.0,1,core_eligible,
symphony-finance,Symphony Finance,Dexs,,,3.0,0,3,dead,avax_core,1,1,1002,1002,352.56038,853.52017,500.95979,0.4130662547787242,0.0,1.0,1,core_eligible,
tarina,Tarina,Dexs,,,1.0,1,1,dead,avax_core,1,1,1418,1418,52.42921,52.42921,0.0,1.0,0.0,1.0,1,core_eligible,
tarot,Tarot,Lending,,tarot-2,13.0,0,13,alive,avax_core,1,1,1063,1670,6844.25188,573623.8573599999,566779.6054799999,0.011931602551364289,3.0,1.0,1,core_eligible,
team-finance,Team Finance,Token Locker,,trustswap,17.0,0,17,alive,avax_core,1,1,1246,1246,430493.34454,48825934.12943,48395440.78489,0.008816899301892079,7.0,1.0,1,core_eligible,
teddy-cash,Teddy Cash,CDP,,teddy,1.0,1,1,alive,avax_core,1,1,1641,1641,14000.89466,14000.89466,0.0,1.0,1.0,1.0,1,core_eligible,
tempodao,TempoDAO,Reserve Currency,,tempo-dao,1.0,1,1,dead,avax_core,1,1,1548,1548,3.39632,3.39632,0.0,1.0,0.0,1.0,1,core_eligible,
termfinance-lend,TermFinance Lend,Lending,parent#termfinance,,4.0,0,4,alive,avax_core,1,1,1002,1002,0.0,1855209.02352,1855209.02352,0.0,1.0,1.0,1,core_eligible,
termfinance-vaults,TermFinance Vaults,Yield,parent#termfinance,,6.0,0,6,alive,avax_core,1,1,343,343,1384873.99908,15160463.86346,13775589.86438,0.09134773259925417,4.0,0.981918,1,core_eligible,
the-dragons-lair,The Dragon's Lair,Yield,,dragon-egg,1.0,1,1,dead,avax_core,1,1,1629,1629,78.67273,78.67273,0.0,1.0,0.0,1.0,1,core_eligible,
the-ennead-farm,The Ennead Farm,Yield,,the-ennead,2.0,0,2,dead,avax_core,1,1,964,964,62.93052,3718.9872,3656.05668,0.01692141344288574,0.0,1.0,1,core_eligible,
the-seed-farm,The Seed Farm,Yield,,the-seed-farm,1.0,1,1,dead,avax_core,1,1,1531,1531,1947.86712,1947.86712,0.0,1.0,0.0,1.0,1,core_eligible,
thetanuts-finance,Thetanuts Finance,Yield,,thetanuts-finance,11.0,0,11,alive,avax_core,1,1,1496,1496,41293.25382,867571.50266,826278.24884,0.04759636951351405,6.0,1.0,1,core_eligible,
thor-financial,Thor Financial,Yield,,thor,1.0,1,1,dead,avax_core,1,1,572,572,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
thorchain-dex,Thorchain DEX,Dexs,,thorchain,12.0,0,12,alive,avax_core,1,1,1065,1760,1006768.09347,65529398.338740006,64522630.24527001,0.015363609601079057,12.0,1.0,1,core_eligible,
thorusfi,ThorusFi,Dexs,,thorus,2.0,0,2,alive,avax_core,1,1,1522,1522,12697.07777,12838.2832,141.20542999999998,0.9890012217521421,1.0,1.0,1,core_eligible,
token-mill,Token Mill,Launchpad,parent#trader-joe,,2.0,0,2,alive,avax_core,1,1,238,238,40862.3777,69025.07559,28162.697889999996,0.5919932336288515,2.0,0.895616,1,core_eligible,
tokensfarm,TokensFarm,Yield,,,7.0,0,7,dead,avax_core,1,1,1411,1411,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
topshelf,TopShelf,CDP,,topshelf-finance,3.0,0,3,alive,avax_core,1,1,1543,1543,2082.26258,22824.23244,20741.96986,0.0912303441298112,1.0,1.0,1,core_eligible,
tornadao,Tornadao,Reserve Currency,,tornadao,1.0,1,1,dead,avax_core,1,1,1555,1555,7.09314,7.09314,0.0,1.0,0.0,1.0,1,core_eligible,
tornado-cash,Tornado Cash,Privacy,,tornado-cash,8.0,0,8,alive,avax_core,1,1,1385,2274,45522.78469,474258150.5947701,474212627.81008005,9.598735337054217e-05,8.0,1.0,1,core_eligible,
tranche-finance,Tranche Finance,Yield,,tranche-finance,4.0,0,4,alive,avax_core,1,1,1466,1729,36.40441,33284.35413000001,33247.949720000004,0.0010937394145553753,1.0,1.0,1,core_eligible,
treehouse-finance,TreeHouse Finance,Yield,,,1.0,1,1,dead,avax_core,1,1,558,558,29.06204,29.06204,0.0,1.0,0.0,1.0,1,core_eligible,
treehouse-protocol,Treehouse Protocol,DOR,,treehouse,3.0,0,3,alive,avax_core,1,1,191,545,7929144.48192,153633227.21288002,145704082.73096,0.051610869769292016,3.0,0.904658,1,core_eligible,
tulipa-capital,Tulipa Capital,Risk Curators,,,8.0,0,8,alive,avax_core,1,1,102,411,4165821.91345,51236727.57526,47070905.661809996,0.08130538601105929,7.0,0.85589,1,core_eligible,
turtle-club,Turtle Club,Onchain Capital Allocator,,,3.0,0,3,alive,avax_core,1,1,139,307,4395630.84407,5351172.191199999,955541.3471299997,0.8214332649019617,3.0,0.860274,1,core_eligible,
umami-finance,Umami Finance,Yield,parent#bonsaidao-ecosystem,umami-finance,2.0,0,2,alive,avax_core,1,1,548,1573,0.0,567703.66826,567703.66826,0.0,1.0,1.0,1,core_eligible,
uncx-network-v2,UNCX Network V2,Token Locker,parent#uncx-network,,7.0,0,7,alive,avax_core,1,1,1347,1372,95614.00922,121950156.71672001,121854542.70750001,0.0007840417084670365,6.0,1.0,1,core_eligible,
unifi,UniFi,Dexs,,unifi-protocol-dao,10.0,0,10,dead,avax_core,1,1,1485,1611,152.67592,3593.63599,3440.96007,0.042485082079779586,0.0,1.0,1,core_eligible,
uniswap-v2,Uniswap V2,Dexs,parent#uniswap,,12.0,0,12,alive,avax_core,1,1,741,2108,138405.39707,900674907.5076401,900536502.1105701,0.00015366853891044584,11.0,1.0,1,core_eligible,
uniswap-v3,Uniswap V3,Dexs,parent#uniswap,,41.0,0,41,alive,avax_core,1,1,957,1753,4660072.41775,1588550134.9854398,1583890062.56769,0.002933538145960192,35.0,1.0,1,core_eligible,
uniswap-v4,Uniswap V4,Dexs,parent#uniswap,,15.0,0,15,alive,avax_core,1,1,401,401,593803.17141,639040871.0537,638447067.88229,0.0009292100056619092,12.0,1.0,1,core_eligible,
uno-farm,UNO farm,Yield Aggregator,,,4.0,0,4,dead,avax_core,1,1,1121,1124,115.15543,2947.70558,2832.55015,0.039066123422000644,0.0,1.0,1,core_eligible,
upshift,Upshift,Onchain Capital Allocator,,,11.0,0,11,alive,avax_core,1,1,460,460,1346470.23376,316056390.00306,314709919.7693,0.00426022151853017,10.0,1.0,1,core_eligible,
vacus-finance,Vacus Finance,Yield Aggregator,,vacus-finance,1.0,1,1,dead,avax_core,1,1,399,399,0.8179,0.8179,0.0,1.0,0.0,1.0,1,core_eligible,
valhalladao,ValhallaDAO,Reserve Currency,,,1.0,1,1,dead,avax_core,1,1,1534,1534,2e-05,2e-05,0.0,1.0,0.0,1.0,1,core_eligible,
vapordex-v1,VaporDex V1,Dexs,parent#vapordex,,3.0,0,3,alive,avax_core,1,1,1187,1187,408553.43918,408567.64136,14.202180000022054,0.9999652390973677,1.0,1.0,1,core_eligible,
vapordex-v2,VaporDex V2,Dexs,parent#vapordex,,3.0,0,3,alive,avax_core,1,1,872,872,18882.48581,19052.21202,169.72621000000072,0.9910915220856333,1.0,1.0,1,core_eligible,
vaporfi,VaporFi,Yield,,vapornodes,1.0,1,1,dead,avax_core,1,1,1488,1488,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
varlamore-capital,Varlamore Capital,Risk Curators,,,4.0,0,4,alive,avax_core,1,1,224,224,16.76851,125302.50200000001,125285.73349000001,0.00013382422323857506,2.0,0.88411,1,core_eligible,
vaultlayer,VaultLayer,Liquid Staking,,,9.0,0,9,dead,total_only,0,1,0,265,0.0,462.57879,462.57879,0.0,0.0,0.222603,0,boundary_excluded,no_avax_core_history_total_only
vector-finance,Vector Finance,Yield,,vector-finance,1.0,1,1,alive,avax_core,1,1,1461,1461,23532.91419,23532.91419,0.0,1.0,1.0,1.0,1,core_eligible,
vee-finance,Vee Finance,Lending,,vee-finance,2.0,0,2,alive,avax_core,1,1,1628,1628,13098.79528,13098.79528,0.0,1.0,1.0,1.0,1,core_eligible,
vertex-perps,Vertex Perps,Derivatives,parent#Edge,vertex-protocol,7.0,0,7,dead,avax_core,1,1,340,1097,0.0,0.0,0.0,0.0,0.0,0.986301,1,core_eligible,
vesper,Vesper,Yield Aggregator,,vesper-finance,5.0,0,5,alive,avax_core,1,1,1431,1902,0.0,35241160.95092,35241160.95092,0.0,4.0,1.0,1,core_eligible,
vfat.io,vfat.io,Yield Aggregator,,,18.0,0,18,alive,avax_core,1,1,210,638,1069456.26294,34946418.47856,33876962.21562,0.030602742984839,14.0,0.915068,1,core_eligible,
vikingsfinance,VikingsFinance,Reserve Currency,,vikings-finance,1.0,1,1,dead,avax_core,1,1,638,638,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
volta-club,Volta Club,Reserve Currency,,volta-club,2.0,0,2,dead,avax_core,1,1,1647,1647,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
volta-dao,Volta DAO,Reserve Currency,,,2.0,0,2,dead,avax_core,1,1,1482,1482,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
voltz,Voltz,Derivatives,,,3.0,0,3,alive,avax_core,1,1,998,1376,740.00271,236171.84292999998,235431.84021999998,0.003133323180356147,2.0,1.0,1,core_eligible,
vortex-dao,Vortex DAO,Reserve Currency,,vortex-dao,1.0,1,1,dead,avax_core,1,1,861,861,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
waterfall-defi,Waterfall DeFi,Yield Aggregator,,waterfall-governance-token,2.0,0,2,alive,avax_core,1,1,1426,1426,9479.12985,20557.064319999998,11077.934469999998,0.4611130121715745,1.0,1.0,1,core_eligible,
whaleswap,WhaleSwap,Dexs,,whaleswap,7.0,0,7,dead,avax_core,1,1,1166,1341,132.29747,1618.0127699999998,1485.7152999999998,0.08176540534967472,0.0,1.0,1,core_eligible,
wolf-safe-poor-people,Wolf Safe Poor People,Yield,,wolfsafepoorpeople,4.0,0,4,dead,total_only,0,1,0,1302,0.0,0.0,0.0,0.0,0.0,0.25,0,boundary_excluded,no_avax_core_history_total_only
wombat-exchange,Wombat Exchange,Dexs,,wombat-exchange,7.0,0,7,alive,avax_core,1,1,845,1411,52075.96555,3470664.07475,3418588.1092000003,0.015004611344804712,4.0,1.0,1,core_eligible,
woofi-earn,WOOFi Earn,Yield,parent#woofi,,9.0,0,9,alive,avax_core,1,1,1210,1210,1110069.05679,6544639.58649,5434570.5297,0.1696150020363992,8.0,1.0,1,core_eligible,
woofi-swap,WOOFi Swap,Dexs,parent#woofi,,16.0,0,16,alive,avax_core,1,1,1459,1474,1130115.64295,5826395.474,4696279.83105,0.19396480173601066,12.0,1.0,1,core_eligible,
wowswap,WOWswap,Dexs,,wowswap,8.0,0,8,alive,avax_core,1,1,1489,1489,2890.69776,37734.428420000004,34843.73066,0.07660637463022686,1.0,1.0,1,core_eligible,
xave-finance,Xave Finance,Dexs,,xave-token,3.0,0,3,alive,avax_core,1,1,857,857,11877.3828,149710.1343,137832.7515,0.07933586363765621,2.0,1.0,1,core_eligible,
xdollar,xDollar,CDP,,xdollar,5.0,0,5,alive,avax_core,1,1,1453,1732,3287.01717,98636.77359,95349.75641999999,0.033324459533348366,2.0,1.0,1,core_eligible,
xsy,XSY,Basis Trading,,unity-2,1.0,1,1,alive,avax_core,1,1,277,277,20974668.99613,20974668.99613,0.0,1.0,1.0,0.927671,1,core_eligible,
yel-finance,Yel Finance,Yield,,yel-finance,8.0,0,8,alive,avax_core,1,1,267,1602,87.00594,15072.156340000001,14985.150400000002,0.005772627223159496,1.0,0.946301,1,core_eligible,
yeti-finance,Yeti Finance,CDP,,yeti-finance,1.0,1,1,dead,avax_core,1,1,884,884,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
yetiswap,YetiSwap,Dexs,,yetiswap,1.0,1,1,dead,avax_core,1,1,1788,1788,9658.23658,9658.23658,0.0,1.0,0.0,1.0,1,core_eligible,
yield-yak-aggregator,Yield Yak Aggregator,Yield Aggregator,parent#yield-yak,yield-yak,3.0,0,3,alive,avax_core,1,1,1568,1568,12026123.84262,15153614.36674,3127490.5241199993,0.793614219787433,2.0,1.0,1,core_eligible,
yield-yak-staked-avax,Yield Yak Staked Avax,Liquid Staking,parent#yield-yak,,1.0,1,1,alive,avax_core,1,1,1227,1227,471795.613,471795.613,0.0,1.0,1.0,1.0,1,core_eligible,
yieldfi,YieldFi,Yield Aggregator,,,13.0,0,13,alive,avax_core,1,1,193,415,23431.38964,20293894.1043,20270462.71466,0.001154602932269919,8.0,0.905753,1,core_eligible,
yieldwolf,YieldWolf,Yield,,,7.0,0,7,alive,avax_core,1,1,1506,1506,38536.26182,60976.897119999994,22440.635299999994,0.6319813509723566,1.0,1.0,1,core_eligible,
zabu-finance,Zabu Finance,Yield Aggregator,,zabu-token,1.0,1,1,dead,avax_core,1,1,1656,1656,5515.19518,5515.19518,0.0,1.0,0.0,1.0,1,core_eligible,
zerobase-cedefi,ZEROBASE CeDeFi,Basis Trading,,zerobase,7.0,0,7,alive,avax_core,1,1,278,278,15792.91349,56395536.11088,56379743.197390005,0.00028003836081900784,7.0,0.928493,1,core_eligible,
zeroshift,ZeroShift,Reserve Currency,,,1.0,1,1,dead,avax_core,1,1,1506,1506,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
zeroswap,ZeroSwap,Dexs,,zeroswap,4.0,0,4,dead,total_only,0,1,0,1360,0.0,0.0,0.0,0.0,0.0,0.25,0,boundary_excluded,no_avax_core_history_total_only
zkex,ZKEX,Dexs,,,9.0,0,9,dead,avax_core,1,1,724,724,0.03117,2.0465099999999996,2.0153399999999997,0.015230807569960569,0.0,1.0,1,core_eligible,
zookeeper,Zookeeper,Yield,,zookeeper,2.0,0,2,dead,avax_core,1,1,1418,1774,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
