slug,name,category,parent_protocol,gecko_id,chains_count_payload,avax_only,num_chains,old_label,history_source_mode,has_avax_history,has_total_history,avax_history_days,total_history_days,current_avax_core_tvl,current_total_core_tvl,current_non_avax_core_tvl,current_avax_share,active_chain_count_core,data_quality_score_v2,core_eligible,core_universe_status,boundary_reason
beta-finance-v1,Beta Finance V1,Lending,parent#beta-finance,,2.0,0,2,alive,avax_core,1,1,1490,1656,7719.17494,511025.3695,503306.19456,0.015105267567347262,1.0,1.0,1,core_eligible,
betswirl,BetSwirl,Prediction Market,,betswirl,6.0,0,6,dead,total_only,0,1,0,1325,0.0,0.0,0.0,0.0,0.0,0.25,0,boundary_excluded,no_avax_core_history_total_only
bifi,BiFi,Lending,,bifi,5.0,0,5,alive,avax_core,1,1,1677,1880,2116.22129,8176894.12575,8174777.90446,0.0002588050251666792,4.0,1.0,1,core_eligible,
bim,BIM,Yield Aggregator,,bim-2,12.0,0,12,alive,avax_core,1,1,136,245,0.0,639142.8914900001,639142.8914900001,0.0,4.0,0.841644,1,core_eligible,
bitbond-lockers,Bitbond Lockers,Token Locker,parent#token-tool,,7.0,0,7,alive,avax_core,1,1,350,350,0.0,9519160.886009999,9519160.886009999,0.0,3.0,0.987671,1,core_eligible,
bitbond-sales,Bitbond Sales,Launchpad,parent#token-tool,,7.0,0,7,alive,avax_core,1,1,361,361,0.0,55930.0914,55930.0914,0.0,1.0,0.996712,1,core_eligible,
blackhole-amm,Blackhole AMM,Dexs,parent#blackhole,,1.0,1,1,alive,avax_core,1,1,242,242,6394590.44492,6394590.44492,0.0,1.0,1.0,0.898904,1,core_eligible,
blackhole-clmm,Blackhole CLMM,Dexs,parent#blackhole,,1.0,1,1,alive,avax_core,1,1,242,242,33646582.96701,33646582.96701,0.0,1.0,1.0,0.898904,1,core_eligible,
blizz-finance,Blizz Finance,Lending,,blizz-finance,1.0,1,1,dead,avax_core,1,1,666,666,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
blizzard,Blizzard,Yield,,blizzard-network,1.0,1,1,dead,avax_core,1,1,704,704,2535.98902,2535.98902,0.0,1.0,0.0,1.0,1,core_eligible,
boofinance,BooFinance,Yield,,boo-finance,1.0,1,1,alive,avax_core,1,1,1523,1523,16674.1814,16674.1814,0.0,1.0,1.0,1.0,1,core_eligible,
bridgers,Bridgers,Dexs,,,16.0,0,16,alive,avax_core,1,1,626,626,14372.62965,1779653.90781,1765281.27816,0.008076081302620585,8.0,1.0,1,core_eligible,
brokkr-finance,Brokkr Finance,Indexes,,brokkr,2.0,0,2,dead,avax_core,1,1,1063,1063,6539.32634,7084.86885,545.5425100000002,0.9229989260845668,0.0,1.0,1,core_eligible,
butterfly-finance,Butterfly Finance,Farm,,butterfly-protocol-2,1.0,1,1,dead,avax_core,1,1,812,812,17.75212,17.75212,0.0,1.0,0.0,1.0,1,core_eligible,
button-wrappers,Button Wrappers,CDP,parent#buttonwood,,4.0,0,4,alive,avax_core,1,1,826,826,121.86779,35637.696729999996,35515.82894,0.0034196314908704825,2.0,1.0,1,core_eligible,
bxh,BXH,Dexs,,bxh,5.0,0,5,alive,avax_core,1,1,1382,1414,3264.35217,41360.63090999999,38096.278739999994,0.07892413868403442,1.0,1.0,1,core_eligible,
cables-finance,Cables Finance,Dexs,,,2.0,0,2,dead,avax_core,1,1,496,496,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
cakedao,CakeDAO,Reserve Currency,,cake,1.0,1,1,dead,avax_core,1,1,624,624,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
canary,Canary,Dexs,,canary,2.0,0,2,alive,avax_core,1,1,1742,1742,25785.55847,26014.79137,229.23289999999906,0.9911883629301618,1.0,1.0,1,core_eligible,
cavalre,CavalRe,Dexs,,,1.0,1,1,alive,avax_core,1,1,910,910,12361.95284,12361.95284,0.0,1.0,1.0,1.0,1,core_eligible,
cesta-finance,Cesta Finance,Reserve Currency,,,1.0,1,1,dead,avax_core,1,1,1501,1501,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
chaingpt,ChainGPT,Launchpad,,chaingpt,10.0,0,10,alive,avax_core,1,1,625,805,0.0,38313.81886,38313.81886,0.0,1.0,1.0,1,core_eligible,
champion-finance,Champion Finance,Algo-Stables,,victory,1.0,1,1,dead,avax_core,1,1,1286,1286,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
chikn-farm,Chikn Farm,Services,,chikn-egg,1.0,1,1,dead,avax_core,1,1,1524,1524,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
cian-automation,CIAN Automation,Yield,parent#cian-protocol,,3.0,0,3,alive,avax_core,1,1,726,726,938760.61484,1037009.9744000001,98249.35956000001,0.9052570737163393,3.0,1.0,1,core_eligible,
clearpool-lending,Clearpool Lending,Uncollateralized Lending,parent#clearpool,,9.0,0,9,alive,avax_core,1,1,658,1415,46.05894,628250.19973,628204.14079,7.331305269746755e-05,5.0,1.0,1,core_eligible,
cleopatra-dao,Cleopatra DAO,Yield Aggregator,,,1.0,1,1,dead,avax_core,1,1,596,596,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
clovis,Clovis,Yield Aggregator,,,10.0,0,10,alive,avax_core,1,1,168,168,1233.50354,280106.02446,278872.52092,0.004403702285154342,3.0,0.838082,1,core_eligible,
coinscope,Coinscope,Token Locker,,coinscope,9.0,0,9,alive,avax_core,1,1,965,965,0.0,14965.52691,14965.52691,0.0,1.0,1.0,1,core_eligible,
colony,Colony,Yield,,colony,1.0,1,1,alive,avax_core,1,1,1550,1550,113036.02187,284381.41168,171345.38981000002,0.39748034585746306,2.0,1.0,1,core_eligible,
complus-network,Complus Network,Dexs,,complus-network,4.0,0,4,alive,avax_core,1,1,1844,1844,61370.99588,64146.21248,2775.2165999999997,0.956736080078535,1.0,1.0,1,core_eligible,
contango-v2,Contango V2,Derivatives,parent#contango,,10.0,0,10,alive,avax_core,1,1,431,708,454797.56121,15848577.3736,15393779.81239,0.028696428107647422,9.0,1.0,1,core_eligible,
cook-finance,Cook Finance,Indexes,,cook,4.0,0,4,alive,avax_core,1,1,1559,1597,9953.3351,132488.97919,122535.64409000002,0.0751257588431269,2.0,1.0,1,core_eligible,
