launch_trim_days,lifecycle_days,early_window_days_observed,data_points,log_start_tvl,log_peak_tvl,log_end_tvl,log_median_tvl,retention_ratio,drawdown_ratio,peak_day_frac,peak_day_ratio_by_span,auc_norm,slope_total_log,slope_post_log,vol_log_ret,mean_log_ret,downside_log_ret,crash_15_count,rebound_15_count,nonzero_day_frac,active_day_frac,stable_band_frac,rolling7_end_vs_peak,peak_to_median_log_gap,slug,name,category,current_status,structural_decay_label_v2,structural_decay_target_v2,history_source_mode,data_quality_score_v2,core_eligible,core_universe_status
0.0,304.0,90.0,91.0,10.588627762694157,11.887780151412255,11.721629263038302,11.57910638662937,0.8479624787509302,0.1530826178708662,0.9,0.9,0.9699106458875326,0.00678143141858302,-0.019713781902620527,0.10754115144165857,0.012588905559379387,0.04308335577124401,1.0,5.0,1.0,1.0,0.7692307692307693,0.9867679520432489,0.3086737647828848,arena-launch,Arena Launch,Launchpad,active_on_avax,censored,,avax_core,0.950685,1,core_eligible
0.0,893.0,90.0,91.0,10.425460809904182,14.83808665768859,13.692493976165194,13.3306028121046,0.3182803152573196,0.6819648770459227,0.1111111111111111,0.1111111111111111,0.7967376336882372,0.06880238793569705,0.10093931338728243,1.182158899739533,0.03630036851401124,0.8423764318096156,13.0,19.0,0.8901098901098901,0.8901098901098901,0.8901098901098901,0.9646289487867512,1.507483845583991,arena-socialfi,Arena SocialFi,SoFi,active_on_avax,resilient_or_unproven,0.0,avax_core,1.0,1,core_eligible
0.0,578.0,90.0,91.0,0.0,0.6931471805599453,0.0,0.0,0.999000999000999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6931471805599453,arrow-markets,Arrow Markets,Options,low_tvl_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
0.0,402.0,90.0,91.0,9.17678358844734,9.290721483922995,9.122164681072457,9.154827662045925,0.8579756674552214,0.1551310446659284,0.6888888888888889,0.6888888888888889,0.9856056914789503,-0.00013639944385149087,-0.004238261620941423,0.05350081738755407,-0.0006068767486098044,0.04230434618966467,2.0,1.0,1.0,0.2087912087912088,0.7142857142857143,0.984561181087131,0.13589382187707066,atlantis-loans,Atlantis Loans,Lending,low_tvl_on_avax,censored,,avax_core,0.998356,1,core_eligible
12.0,1221.0,90.0,91.0,13.947651359164562,15.117057704216597,12.793873199224732,13.232004916391276,0.09820627278135853,0.9020391148026232,0.044444444444444446,0.044444444444444446,0.9017265751016507,-0.026054683668926194,-0.02754007348620148,0.12283512960271985,-0.01281975733266477,0.07884546224302964,5.0,3.0,1.0,1.0,0.6703296703296703,0.8601336716710954,1.8850527878253214,augmented-finance,Augmented Finance,Lending,low_tvl_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
0.0,703.0,90.0,91.0,10.725049935309642,14.609704161853193,14.326170768050176,13.902717082578034,0.7532293875965316,0.246882139330352,0.7111111111111111,0.7111111111111111,0.9173709665101547,0.009840918592227944,0.06804114205051871,1.128535974706794,0.04001245369711705,0.7915890718625405,2.0,12.0,0.978021978021978,0.978021978021978,0.945054945054945,0.9862979651904166,0.7069870792751587,aura,Aura,Yield,low_tvl_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
0.0,1634.0,90.0,91.0,14.076671791387712,15.825856544313925,15.77172373380119,15.12774198437778,0.9473133358305771,0.052693721144633755,0.8333333333333334,0.8333333333333334,0.9550328923800407,0.0168797685094167,-0.011857834749498383,0.08146957634418485,0.01883391047126087,0.04562205711869479,2.0,6.0,1.0,1.0,0.5384615384615384,0.9912352607421939,0.6981145599361458,autofarm,Autofarm,Yield Aggregator,active_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
0.0,1660.0,90.0,91.0,0.0,0.6931471805599453,0.0,0.0,0.999000999000999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6931471805599453,avalaunch,Avalaunch,Dexs,low_tvl_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
0.0,1530.0,90.0,91.0,13.05140643553614,13.057991242423814,11.386931310154825,11.401010180341729,0.18977410834200673,0.8119540896748694,0.011111111111111112,0.011111111111111112,0.9166472469178158,-0.024369628874709122,-0.02438071395820763,0.15787967816395615,-0.018494168059792395,0.15760924244444532,1.0,0.0,1.0,1.0,0.6373626373626373,0.8723336230039674,1.6569810620820853,avalps,Avalps,Reserve Currency,low_tvl_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
0.0,263.0,90.0,91.0,14.864127306288891,17.223242906805496,17.056604443560346,16.512231828381097,0.8465106768100474,0.15349440617498142,0.6333333333333333,0.6333333333333333,0.9504952786316618,0.02445519359812733,0.0018344919240788622,0.10149838572437529,0.024360857080793944,0.018040719386673863,0.0,5.0,1.0,1.0,0.8131868131868132,0.9946004117299581,0.7110110784243986,avant-avbtc,Avant avBTC,Onchain Capital Allocator,active_on_avax,censored,,avax_core,0.916986,1,core_eligible
0.0,290.0,90.0,91.0,17.94729827685771,18.425787183867346,18.375179663312565,18.206781048749274,0.9506521990514873,0.049348291913034144,0.8666666666666667,0.8666666666666667,0.9867892624401724,0.007131566897056706,-0.004889719919502898,0.014244973535313628,0.0047542376272761856,0.004638064581798685,0.0,0.0,1.0,1.0,0.5054945054945055,0.9980575408083994,0.21900613511807165,avant-avusd,Avant avUSD,Basis Trading,active_on_avax,censored,,avax_core,0.939178,1,core_eligible
0.0,1531.0,90.0,91.0,9.751850377873168,9.989573501449257,4.477336814478207,4.882801922586371,0.047681712506031496,0.9960086250401431,0.03333333333333333,0.03333333333333333,0.5734582661436685,-0.057243094238209474,-0.05346437753830922,0.1254585376454102,-0.03158995109508831,0.12277576793805527,5.0,1.0,1.0,0.0989010989010989,0.7912087912087912,0.4583966362756655,5.106771578862887,avaviking,AvaViking,Yield,low_tvl_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
0.0,1652.0,90.0,72.0,14.970845591508317,14.970845591508317,14.37724752318308,13.955158580807371,0.5524771684393937,0.4476637798157278,0.0,0.0,0.9358633933975254,-0.004952745858588786,-0.004952745858588786,0.24359961832424148,-0.008360536173594888,0.14388650593278762,13.0,14.0,1.0,1.0,0.6111111111111112,0.9669847210838944,1.016872285797179,avaware,Avaware,Yield,low_tvl_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
0.0,1573.0,90.0,91.0,17.079023401285855,18.33859151691924,16.3401733544585,17.3076967046444,0.13555890565536954,0.8644504783080793,0.1111111111111111,0.1111111111111111,0.9151910573187361,-0.022768284342006305,-0.04178421197940614,2.0817692779652037,-0.008209444964748396,1.4397422932597614,3.0,5.0,0.978021978021978,0.978021978021978,0.978021978021978,0.765959008570392,1.0308948122748411,axial,Axial,Dexs,active_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
0.0,1784.0,90.0,91.0,2.6390573296152584,15.49748399261473,12.51618990645794,14.092786928397175,0.050903507691987246,0.9492730304972663,0.24444444444444444,0.24444444444444444,0.8092069849510338,0.06671734791496421,-0.04188056445216808,0.8711659594278304,0.06230483474603021,0.07010487311637476,7.0,3.0,1.0,0.8571428571428571,0.8571428571428571,0.8204743937474793,1.4046970642175562,baguette,Baguette,Dexs,active_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
